Winery,Address,City,Website,Phone,NWP,App,Cave,Tours,Notes/Labels,,,,,,,,
Reckless Wine Co,584 Main Street,St. Helena,www.recklesswine.com,963-3094,,Private,,,,,,,,,,,
Realm Cellars,P.O. Box 544,St. Helena,www.realmcellars.com,967-0226,X,Private,,,The Absurd,,,,,,,,
Reata Winery,1 Kirkland Ranch Road,Napa,www.reatawines.com,254-8673,X,No,,,"Whiplash, Reata & Valley Gate labels",,,,,,,,
Red Cap Vineyards,891 Ponderosa Drive,Angwin,www.redcapvineyards.com,965-1145,X,Private,,,,,,,,,,,
Red Mare Wines,,Calistoga,www.redmarewines.com,877 310-3335,,Private,,,Taste at Napa Wine co,,,,,,,,
Red Stitch,,,www.redstitchwine.com,,,,,,Mostly Napa?,,,,,,,,
Redmon Family Vineyards,1185 Starr Ave,St. Helena,www.redmonvineyards.com,968-9252,X,Yes,,Bapp,,,,,,,,,
Regan Wines,2691 Dorset Street,Napa,www.reganwines.com,257-1136,,Private,,,,,,,,,,,
Regusci Winery,5584 Silverado Trail,Napa,www.regusciwinery.com,254-0403,X,Yes,,BApp,,,,,,,,,
Reid Family Vineyards,1020 Borrette Lane,Napa,www.reidfamilyvineyards.com,252-3195,,Yes,,,J Kirkwood,,,,,,,,
Relic Wines,P.O. Box 327,St. Helena,www.relicwines.com,967-9380,X,Private,,,,,,,,,,,
Remridg,P.O. Box 1084,Calistoga,www.remridg.com,942-8267,,Private,,,,,,,,,,,
Renard,2040 Pine Street,Napa,www.renardsyrah.com,265-9061,X,Private,,,SILENUS,,,,,,,,
Renteria Wines,1106 Clark Street,Napa,www.renteriawines.com,253-7686,X,Private,Yes,,"Salva Tierra, Tres Perlas - MA(I)SONRY",,,,,,,,
Retro Cellars,1955 Summit Lake Drive,Angwin,www.retrocellars.com,965-1042,X,Private,,,,,,,,,,,
Revana Family,2930 St. Helena Highway N,St. Helena,www.revanawine.com,967-8814,X,Yes,,No,,,,,,,,,
Revenant Wines,,,www.revenantwines.com,,,,,,,,,,,,,,
Reverie Winery,1520 Diamond Mountain Rd,Calistoga,www.reveriewine.com,942-6800,X,Yes,Yes,BApp,,,,,,,,,
Revival Vineyards,,,www.revivalvineyards.com,,,,,,,,,,,,,,
Reynolds Family Winery,3266 Silverado Trail,Napa,www.reynoldsfamilywinery.com,258-2558,X,Yes,,No,Naughty Cellars - Renteria collaboration,,,,,,,,
Rheo Cellars,,,www.rheocellars.com,,,,,,,,,,,,,,
Richard Grant Wine,1120 Darms Lane,Napa,www.richardgrantwine.com,259-0958,X,Private,,,,,,,,,,,
Richard Partridge,451 Sanitarium Road,St. Helena,www.richardpartridge.com,562 802-7345,,Private,,,,,,,,,,,
Richard Perry Vineyards,1187 Green Valley Road,Napa,www.perryvineyards.com,209 728-9345,X,Private,,,VINTNER'S COLLECTIVE,,,,,,,,
RigArt Garage Winery,89 Donaldson Way,American C,www.rigart.com,280-0774,X,Private,,,,,,,,,,,
Rios Wine Company,3970 Peterson Drive,Calistoga,www.rioswine.com,942-1276,X,Private,,,"Solovino label, Justicia Winery",,,,,,,,
Ripe Peak,4088 Atlas Peak Rod,Napa,www.ripenapa.com,,,,,,,,,,,,,,
Ritchie Creek,4024 Spring Mountain Road,St. Helena,www.ritchiecreek.com,963-4661,X,Yes,,,,,,,,,,,
Rival Wine,1539 Cinnamond Street,Napa,www.rivalwine.com,,,Private,,,Syrah,,,,,,,,
Rivera Vineyards,2520 Camino Diablo,Walnut Cr.,www.riverawinery.com,925 943-1111,,Private,,,Donates to SF Charities,,,,,,,,
Rivers Marie,1418 Cedar Street,Calistoga,www.riversmarie.com,942-2172,,Private,,,"Napa Cab, Sonoma Pinot, wine made in Napa",,,,,,,,
Road 31 Wine Co,230 Pickwick Drive,Napa,www.road31.com,649-1200,X,Yes,,,,,,,,,,,
Robert Biale Vineyards,4038 Big Ranch Road,Napa,www.robertbialevineyards.com,257-7555,X,Yes,,,Hill Climber,,,,,,,,
Robert Craig Winery,625 Imperial Way,Napa,www.robertcraigwine.com,252-2250,X,Yes,,,,,,,,,,,
Robert Foley Vineyards,P.O. Box 847,Angwin,www.robertfoleyvineyards.com,965-2669,X,Private,Yes,,,,,,,,,,
Robert Keenan,3660 Spring Mountain Road,St. Helena,www.keenanwinery.com,963-9177,X,Yes,,,,,,,,,,,
Robert Mondavi,7801 St. Helena Highway,Oakville,www.robertmondavi.com,888 766-6328,X,No,,BApp,,,,,,,,,
Robert Nenow Winery,4078 Spring Mountain Rd.,St. Helena,www.robertnenowwinery.com,760 489-7691,,Private,,,At Behrens & Hitchcock,,,,,,,,
Robert Pecota Winery,P.O. Box 303,Calistoga,www.robertpecotawinery.com,942-6625,X,Yes,,,,,,,,,,,
Robert Sinskey,6320 Silverado Trail,Napa,www.robertsinskey.com,944-9090,X,No,,BApp,,,,,,,,,
Roberts + Rogers,3241 Ehlers Lane,St. Helena,www.robertsandrogers.com,942-7422,X,Private,,,,,,,,,,,
Robbins Vineyards,218 Zinfandel Lane,St. Helena,www.robbinsvineyards.com,967-8977,X,Private,,,,,,,,,,,
Robinson Family Vineyards,5880 Silverado Trail,Napa,www.robinsonfamilyvineyards.com,944-8004,X,Yes,Yes,No,,,,,,,,,
Rocca Vineyards,129 Devlin Road,Napa,www.roccawines.com,255-2269,X,No,,,,,,,,,,,
Rombauer Vineyards,3522 Silverado Trail,St. Helena,www.rombauervineyards.com,963-5170,X,No,Yes,BApp,,,,,,,,,
Romeo Vineyards & Cellars,4425 Silverado Trail,Calistoga,www.romeovineyards.com,942-8239,X,Private,,,,,,,,,,,
Roots Run Deep,6795 Washington Street #C,Yountville,www.rootsrundeep.com,945-1045,,Private,,,Educated Guess,,,,,,,,
Rossi Wallace,P.O. Box 343,St. Helena,www.rossi-wallace.com,963-0234,,Private,,,,,,,,,,,
Round Pond,886 Rutherford Road,Rutherford,www.roundpond.com,877 963-9364,X,Yes,,,,,,,,,,,
Rowland Cellars,1883 Carignan Way,Yountville,www.rowlandcellars.com,944-0543,X,Private,,,Cenay & Ramspeck Wine,,,,,,,,
Roy Estate,1181 Las Posadas Road Ste. B,Angwin,www.royestate.com,255-4409,X,Private,,,,,,,,,,,
Rubissow Winery,P.O. Box 450,Napa,www.rubissowwines.com,253-8605,X,Yes,,,,,,,,,,,
Ruby Kurant,963 Silverado Trail,Calistoga,www.rubykurant.com,845-3424,,Private,,,,,,,,,,,
Rudd,500 Oakville Cross Road,Oakville,www.ruddwines.com,944-8577,X,Yes,Yes,BApp,,,,,,,,,
Rugg Family,,,www.Ruggfamilywines.com,,,,,,,,,,,,,,
Ruston Family,2798 Spring Street,St. Helena,www.rustonvines.com,967-8025,X,Yes,,,,,,,,,,,
RustRidge Winery,2910 Lower Chiles Road,St. Helena,www.rustridge.com,965-9353,X,Yes,,BApp,,,,,,,,,
Rutherford Grove,1673 Hwy 29,Rutherford,www.rutherfordgrove.com,963-0544,X,No,,,,,,,,,,,
Rutherford Hill,200 Rutherford Hill Road ,Rutherford,www.rutherfordhill.com,963-7194,X,No,Yes,BApp,,,,,,,,,
Rutherford Ranch,1680 Silverado Trail,St. Helena,www.rutherfordranch.com,968-3200,X,No,,,Round Hill Label,,,,,,,,
Sabina Vineyards,3291 St. Helena Highway,St. Helena,www.sabinavineyards.com,963-0733,X,Private,,,,,,,,,,,
Saddleback Cellars,7802 Money Road,Oakville,www.saddlebackcellars.com,944-1305,X,Yes,,No,,,,,,,,,
Saintsbury,1500 Los Carneros Ave,Napa,www.saintsbury.com,252-0592,X,Yes,,,,,,,,,,,
Salexis Wines,"257 Walnut Street, Suite D",Napa,www.salexiswines.com,256-3435,X,Private,,,,,,,,,,,
Salvestrin Wine Co,397 Main Street,St. Helena,www.salvestrinwinery.com,963-5105,X,Yes,,,,,,,,,,,
Sand T Cellars,3194 Redwood Road,Napa,www.sandtcellars.com,252-6690,X,Yes,,,,,,,,,,,
Sarah Francis Wines,,St. Helena,www.SarahFrancisWines.com ,,,Private,,,,,,,,,,,
Sarocka Wines,,,,,X,Private,,,Scully Wines,,,,,,,,
Saunter Wines,1214 Main Street,St. Helena,www.saunterwines.com,963-8690,X,Private,,,,,,,,,,,
Scaggs Vineyard,650 Wall Road,Napa,www.scaggsvineyard.com,944-2626,,Private,,,,,,,,,,,
Scarecrow,P.O. Box 144,Rutherford,www.scarecrowwine.com,963-3361,,Private,,,,,,,,,,,
School House Vineyards ,3549 Langtry Rd,St. Helena,www.schoolhousevineyard.com,963-4240,X,Yes,,,,,,,,,,,
Schlein Vineyard,1496 Walnut Drive,Oakville,www.schleinvineyard.com,765-8800,X,Private,,,"Emilios Terrace, Sophies Rows, MoonSchlein",,,,,,,,
Schrader Cellars,1345 Lincoln Ave,Calistoga,www.schradercellars.com,942-1212,,Private,,,Is a Calistoga based wine shop also,,,,,,,,
Schramsberg,1400 Schramsberg Road,Calistoga,www.schramsberg.com,942-4558,X,Yes,Yes,BApp,"sister winery, J Davies - tasted also",,,,,,,,
Schulz Cellars,P.O. Box 210,Glen Ellen,www.schulzcellars.com,938-3986,,Private,,,"# Mostly Napa vineyards, wine made in Glen Ellen?",,,,,,,,
Schweiger Vineyards,4015 Spring Mountain Rd ,St. Helena,www.schweigervineyards.com,963-4882,X,Yes,,BApp,,,,,,,,,
Sciandri Family Vineyards,50 Kreuse Canyon Drive,Napa,www.sciandrivineyards.com,277-4999,X,Private,,,,,,,,,,,
Screaming Eagle,P.O. Box 12,Oakville,www.screamingeagle.com,944-0749,,Private,Yes,,,,,,,,,,
Sean Minor Wines,1370 Trancas Street #327,St. Helena,www.seanminorwines.com,226-1414,,Private,,,,,,,,,,,
Seaver Vineyards,P.O. Box 888,Calistoga,www.seavervineyards.com,709-8314,,Private,,,,,,,,,,,
Seavey Vineyard,1310 Conn Valley Road,St. Helena,www.seaveyvineyard.com,963-8339,X,Yes,Yes,BApp,Caravina,,,,,,,,
Selene Wines,P.O. Box 3131,Napa,www.selenewines.com,258-8119,,Private,,,Chesler Wines,,,,,,,,
Sequoia Grove,8338 St. Helena Highway,Rutherford,www.sequoiagrove.com,944-2945,X,No,,Yes,Allen Family,,,,,,,,
Sequum Wines,345 Lafata St Suite D,St. Helena,www.sequum.com,967-8597,,Private,,,,,,,,,,,
Seven Stones Winery,44 Montgomery Street #4060,San Francisco,www.sevenstoneswinery.com,963-0993,X,Private,,,,,,,,,,,
Shadow Box Cellars,,,www.shadowboxcellars.com,,,,,,Preiser Family,,,,,,,,
Shafer,6154 Silverado Trail,Napa,www.shafervineyards.com,944-2877,X,Yes,Yes,BApp,,,,,,,,,
Shelter Wine,1080 Fulton Lane,St. Helena,www.750wines.com,888 963-0440,X,Yes,,,,,,,,,,,
Sherwin Family Vineyards,4060 Spring Mountain Rd,St. Helena,www.sherwinfamilyvineyards.com,963-1154,X,Yes,,BApp,,,,,,,,,
Shibumi Knoll,3480 St. Helena Highway,St. Helena,www.shibumiknoll.com,968-9937,,Private,,,,,,,,,,,
Shifflett Esate,1701 Madrona Ave,Napa,www.shifflettestate.com,975-6449,,Private,,,,,,,,,,,
Shypoke,2882A Foothill Blvd,Calistoga,www.shypoke.com,942-0420,X,Private,,,,,,,,,,,
Signorello Vineyards,4500 Silverado Trail,Napa,www.signorellovineyards.com,255-5990,X,Yes,,BApp,,,,,,,,,
Silenus Vintners,5225 Solano Avenue,Napa,www.silenusvintners.com,299-3930,X,Yes,,No,"Collective, own label is Ideology",,,,,,,,
Silver Oak Cellars,915 Oakville Crossroad,Oakville,www.silveroak.com,944-8808,X,No,,BApp,Also winery/TRoom in Geyserville,,,,,,,,
Silver Stag Winery,5230 Country Lane,Napa,www.silverstagwinery.com,224-3111,X,Private,,,Parsley Family label,,,,,,,,
Silver Trident,,,www.silvertridentwinery.com,,,,,,,,,,,,,,
Silverado Trail Wine Studio,3105 Silverado Trail,Napa,,226-8569,X,Yes,,,"Bighorn Cellars, Tetra, other labels",,,,,,,,
Silverado Vineyards,6121 Silverado Trail,Napa,www.silveradovineyards.com,259-6617,X,No,,BApp,,,,,,,,,
Sinatra Family Estates,135 Camino Dorado Ste. 8c,Napa,www.sinatrafamilyestates.com,253-0700,,Private,,,,,,,,,,,
Sinegal Family Estate,2125 Inglewood Ave,St. Helena,,,,Private,,,,,,,,,,,
Sjoeblom Winery,P.O. Box 3496,Napa,www.sjoeblom.com,968-9395,X,Private,,,At gCook Winery,,,,,,,,
Sky Vineyards,1500 Lokoya Road,Napa,www.skyvineyards.com,935-1391,X,Yes,,,,,,,,,,,
Slaughterhouse Cellars,8461 St. Helena Highway,Rutherford,www.slaughterhousecellars.com,967-0853,X,Private,,,,,,,,,,,
Sleeper Cellars,385 La Fata Street,St. Helena,www.bpwine.com,967-0240,,Private,,,Made by the owners of Blicker Pierce,,,,,,,,
Sloan Family Winery,88 Auberge Road,Rutherford,www.sloanwine.com,967-8627,,Private,,,,,,,,,,,
Smith Madrone,4022 Spring Mountain Rd,St. Helena,www.smithmadrone.com,963-2283,X,Yes,,BApp,,,,,,,,,
Snowden Vineyards,P.O. Box 84,St. Helena,www.snowdenvineyards.com,963-4292,X,Yes,,,,,,,,,,,
Sodaro Estate Winery,24 Blue Oak Lane,Napa,www.sodarowines.com,975-6689,X,Private,,,,,,,,,,,
Somerston Winery,3450 Sage Canyon Road,St. Helena,www.somerstonwineco.com,968-9155,X,Private,,,"PRanch, HFlyer, TR-Yountville X",,,,,,,,
Sonador Cellars,P.O. Box 3867,Yountville,www.sonadorcellars.com,320-8596,X,Private,,,,,,,,,,,
Sosabe Cellars ,1190 Vineland Ave,St. Helena,sosabecellars.wordpress.com,963-0145,,Private,,,Also Facebook page,,,,,,,,
Spelletich Cellars,195 Edgewood Place,Angwin,www.spellwine.com,965-0952,X,Private,,,VINTNER'S COLLECTIVE,,,,,,,,
Spence Vineyards,920 White Cottage Road,Angwin,www.spencevineyards.com,965-3416,X,Private,,,,,,,,,,,
Spiridon Wines,5294 Washington Street,Napa,www.spiridonwines.com,486-1115,,Private,,,,,,,,,,,
Spoto Wines,3630 Meadow Lane,Sacramento,www.spotowines.com,225-5065,,Private,,,,,,,,,,,
Spotted Owl Wine,559 Brown Street,Napa,www.spottedowlwine.com,251-0815,X,Private,,,,,,,,,,,
Spottswoode Winery,21902 Madrona Ave,St. Helena,www.spottswoode.com,963-0134,X,Yes,,BApp,,,,,,,,,
Spring Mountain Vineyard,2805 Spring Mountain Rd,St. Helena,www.springmountainvineyard.com,967-4188,X,Yes,,BApp,,,,,,,,,
St. Barthelemy Cellars,6015 Steele Canyon Road,Napa,www.stbartwine.com,966-1513,X,Private,,,,,,,,,,,
St. Clair Brown,1601 Action Ave,Napa,www.stclairbrownwinery.com,255-5591,X,Yes,,,,,,,,,,,
St. Clement,2867 N St. Helena Hwy,St. Helena,www.stclement.com,800 331-8266,X,No,,BApp,,,,,,,,,
St. Helena Winery,100 Pratt Ave,St. Helena,www.sthelenawinery.com,877 245-6006,X,Yes,,,Sympa is 2nd label,,,,,,,,
St. Supery,8440 St. Helena Highway,Rutherford,www.stsupery.com,800 942-0809,X,No,,BApp,Dollarhide Ranch Label,,,,,,,,
Staglin Family Vineyard,1570 Bella Oaks Lane,Rutherford,www.staglinfamily.com,944-0477,X,Yes,Yes,BApp,,,,,,,,,
Stag's Leap Wine Cellars,5766 Silverado Trail,Napa,www.cask23.com,261-6441,X,No,Yes,BApp,,,,,,,,,
Stags' Leap Winery,6150 Silverado Trail,Napa,www.stagsleap.com,944-1303,X,Yes,Yes,BApp,,,,,,,,,
Stanton Vineyards,P.O. Box 394,Oakville,www.stantonvineyards.com,967-0482,X,Private,,,,,,,,,,,
Stella Monsi,,,www.stellamonsi.com,713 854-6608,,Private,,,,,,,,,,,
Stella Reese,480 Bay Street,Angwin,www.stellareesewine.com,965-9804,X,Private,,,,,,,,,,,
Steltzner Vineyards,6795 Washington St. #202,Yountville,www.steltzner.com,944-2486,X,Private,,,,,,,,,,,
Sterling Vineyards,1111 Dunaweal Lane,Calistoga,www.sterlingvineyards.com,942-3344,X,No,,Yes,,,,,,,,,
Stewart Cellars,P.O. Box 68,Rutherford,www.stewartcellars.com,963-9160,X,Private,,,"slingshotwines.com, Labels made Napa & Sonoma",,,,,,,,
Stonehedge Winery,1004 Clinton Street,Napa,www.stonehedgewinery.com,256-4444,X,No,,,"Tasting room, Napa",,,,,,,,
Stoney Hill Vineyard,3331 St. Helena Highway,St. Helena,www.stonyhillvineyard.com,963-2636,X,Yes,,BApp,,,,,,,,,
Stonescape,4301 Azalea Springs Way,Calistoga,www.stonescapewine.com,942-4811,,Private,,,Stonescape Wines,,,,,,,,
Stone The Crow,,,www.stonethecrowswine.com,,,,,,,,,,,,,,
Storybook Mountain,3835 Highway 128,Calistoga,www.storybookwines.com,942-5310,X,Yes,Yes,BApp,Seps Estate,,,,,,,,
Stratton Lummis,135 3rd Street,San Rafael,www.strattonlummis.com,415 259-2770,X,Private,,,,,,,,,,,
Sullivan Vineyards,1090 Galleron Road,Rutherford,www.sullivanwine.com,963-9646,X,Yes,,,Red Ink,,,,,,,,
Summers Winery,1171 Tubbs Lane,Calistoga,www.sumwines.com,942-5508,X,Yes,,BApp,,,,,,,,,
Summit Lake Vineyards,2000 Summit Lake Drive,Angwin,www.summitlakevineyards.com,965-2488,X,Yes,,BApp,,,,,,,,,
Surh Luchtel,P.O. Box 2486,Napa,www.surhluchtel.com,800 810-9463,X,Private,,,,,,,,,,,
Sutter Home,277 St. Helena Hwy,St. Helena,www.sutterhome.com,963-3104x 4208,X,No,,,,,,,,,,,
Swanson Vineyards,1271 Manley Lane,Rutherford,www.swansonvineyards.com,967-3500,X,Yes,,,,,,,,,,,
Switchback Ridge,4292 Silverado Trail,Calistoga,www.switchbackridge.com,967-8987,X,Private,,,,,,,,,,,
Switzer Family Vineyards,"PO Box 5156, Norman OK 73070",Oakville,www.switzerfamilyvineyards.com,,,,,,Taste at Napa Wine Co,,,,,,,,
Sylk Cellars,5238 Silverado Trail,Napa,www.sylkcellars.com,226-3850,X,Private,,,,,,,,,,,
T Vine Cellars,3120 Old Lawley Toll Road,Calistoga,www.tvinecellars.com,942-8685,X,Private,,,"New TR 4 2012 Calistoga, 810 Foothill Blvd",,,,,,,,
Taken Wine Company,,,www.takenwine.com,287-2489,,Private,,,"Phelps, Trinchero 2/3 non napa fruit",,,,,,,,
Tamber Bey Vineyard,"Tubbs Lane,",Calistoga,www.tamberbey.com,945-0483,X,Private,,,,,,,,,,,
Tank Garage,1020 Foothill Blvd #C,Calistoga,,942-5332,X,No,,,Coming soon,,,,,,,,
Taplin Cellars,,,www.taplincellars.com,,X,,,,,,,,,,,,
Taylor Family Vineyards,5991 Silverado Trail,Napa,www.taylorfamilyvineyards.com,255-3593,X,Yes,,No,,,,,,,,,
Tayson Pierce Estate Wines,1060 Rutherford Road,Rutherford,www.taysonpiercewines.com,968-9780,X,Private,,,,,,,,,,,
Teachworth,4451 St. Helena Highway,Calistoga,www.teachworthcabs.com,942-8432,X,Yes,Yes,,,,,,,,,,
Teaderman Vineyards,221 Devlin Road,Napa,www.teadermanvineyards.com,255-8700,X,Private,,,,,,,,,,,
Tea Town Cellars,163 Teatown Road,,www.teatown.com,914 271-5831,,Private,,,,,,,,,,,
Tedeschi Family Winery,2779 Grant Street,Calistoga,www.tedeschifamilywinery.com,942-4274,X,Yes,,,,,,,,,,,
Temple Family Vineyards,7220 Pope Valley Road,Pope Valley,www.templefamilyvineyards.com,963-4891,X,Private,,,,,,,,,,,
Terra Valentine,3787 Spring Mountain Rd,St. Helena,www.terravalentine.com,967-8340,X,Yes,,BApp,,,,,,,,,
Terraces,1450 Silverado Trail,Rutherford,www.terraceswine.com,963-1707,X,Yes,,BApp,,,,,,,,,
Terroir Napa Valley,,,www.terroirnv.com,963-3997,X,Yes,,,,,,,,,,,
Tess Wine,,,www.tesswine.com,,,,,,Peju Family,,,,,,,,
The Grade Cellars,,,www.thegradecellars.com,,,,,,,,,,,,,,
The Napa Valley Reserve,1000 Silverado Trail,St. Helena,www.thenapavalleyreserve.com,968-3192,,Private,,,,,,,,,,,
The Vineyard House,,,www.tvhwines.com,294-8556,X,Private,,,,,,,,,,,
Thomas Michael Cellars,P.O. Box 2191,Yountville,www.thomasmichaelcellars.com,224-4964,,Private,,,,,,,,,,,
Three Clicks Wines,P.O. Box 2730,Yountville,www.threeclickswines.com,318-3623,X,Private,,,,,,,,,,,
Three Monkeys,P.O. Box 10366,Napa,www.threemonkeyswines.com,313-3800,,Private,,,,,,,,,,,
Three Thieves,P.O. Box 248,St. Helena,www.threethieves.com,866 584-2697,,Private,,,,,,,,,,,
Tierra Roja,P.O. Box 430,Oakville,www.tierraroja.com,255-4006,X,Private,,,,,,,,,,,
Titus Vineyards,1/4 mile N of Deer Park Rd,Calistoga,www.titusvineyards.com,963-3235,X,Yes,,No,,,,,,,,,
Tobacco Road Cellars,3212 Jefferson Street,Napa,www.tobaccoroadcellars.com,888 770-3635,,Private,,,,,,,,,,,
Tobias Vineyard,,,www.tobiasvineyards.com,,,,,,,,,,,,,,
Tofanelli Family,1212 Pine Street,Calistoga,www.tofanelliwine.com,942-6504,X,Yes,,,,,,,,,,,
Tom Eddy Wines,P.O. Box 1096,Calistoga,www.tomeddywines.com,942-4267,X,Yes,,,"Elodian, TENZ",,,,,,,,
Tom Scott Vineyard,1465 Yountville Cross Road,Yountville,www.tomscottvineyard.com,944-0544,X,Private,,,,,,,,,,,
Toolbox Wine Co,1021 McKinstry Street,Napa,www.toolboxwineco.com,252-8665,X,No,,,,,,,,,,,
Topaz Wines,1755 Monarch Drive,Napa,www.topazlateharvest.com,252-2468,X,Private,,,,,,,,,,,
Toquade Wine,P.O. Box 184,Rutherford,www.toquadewines.com,738-7779,X,Private,,,,,,,,,,,
TOR Kenward Family,1241 Adams Road St. 1045,St. Helena,www.torwines.com,963-3100,X,Private,,,Rock,,,,,,,,
Tortuga Wines,,,www.tortugawines.com,,,,,,,,,,,,,,
Tournesol Wine,4297 East Third Ave,Napa,www.tournesolwine.com,224-3960,X,Private,,,,,,,,,,,
Trahan Winery,P.O. Box 156,Rutherford,www.trahanwinery.com,342-1364,X,Yes,,,Tasting room in Napa,,,,,,,,
Trefethen Vineyards,1160 Oak Knoll Ave,Napa,www.trefethen.com,255-7700,X,No,,BApp,Eschol Ranch Label,,,,,,,,
Tres Sabores,1620 S. Whitehall Lane,Rutherford,www.tressabores.com,967-8027,X,Yes,Yes,,,,,,,,,,
Trespass Vineyard,1859 Hillview Place,St. Helena,www.trespassvineyard.com,963-0804,X,Yes,,,,,,,,,,,
Tricycle Wine,"440 Grand Ave, #220",Oakland,www.tricyclewineco.com,255-4929,X,Yes,,,Admin office in Oakland,,,,,,,,
Trinchero Family,8210 St. Helena Highway,St. Helena,www.trincherowinery.com,963-5839,X,Yes,,No,www.tfewines.com,,,,,,,,
Trinitas Cellars,875 Bordeaux Way,Napa,www.trinitas-wines.com,935-3504,X,Yes,,,"MERITAGE ESTATE CAVE, FOLIO",,,,,,,,
Tristant Vineyards,1012 Bale Lane,Calistoga,www.tristantvineyards.com,415 333-8383,,Private,,,,,,,,,,,
Trivium,P.O. Box 411,St. Helena,www.triviumwine.com,299-8549,X,Private,,,,,,,,,,,
Troll Bridge Cellars,P.O. Box 3269,Yountville,www.trollbridgecellars.com,319-5028,,Private,,,,,,,,,,,
Troubadour Cellars,,,www.troubadourcellars.com,,,,,,,,,,,,,,
Truchard Vineyard,3234 Old Sonoma Road,Napa,www.truchardvineyards.com,253-7153,X,Yes,Yes,BApp,Poppy Hill,,,,,,,,
Tuck Beckstoffer Wines,807 St. Helena Hwy S St. 1,St. Helena,www.tbwines.com,200-4410,X,Private,,,"75, MkBird, Victory, Vinifera, TB, Semper,HW",,,,,,,,
Tudal Family,1015 Big Tree Road,St. Helena,www.tudalwinery.com,963-3947,X,Yes,,BApp,Honker Blanc,,,,,,,,
Tulocay Winery,1426 Coombsville Road,Napa,www.tulocay.com,255-4064,X,Yes,,BApp,,,,,,,,,
Turley Wine Cellars,3358 St. Helena Hwy,St. Helena,www.turleywinecellars.com,963-0940,X,Private,,,Taste in SLO County,,,,,,,,
Turnbull Wine Cellars,8210 St. Helena Highway,St. Helena,www.turnbullwines.com,963-5839,X,No,,BApp,Tours require appointment,,,,,,,,
Tusk Estates,P.O. Box 126,Oakville,www.tuskestates.com,944-8355,,Private,,,,,,,,,,,
Tyler Florence,,,www.tylerflorencewines.com,,,,,,,,,,,,,,
Twenty Four Wines,2471 Solano Ave #239,Napa,www.twentyfourwines.com,337-7201,,Private,,,,,,,,,,,
Twomey Cellars,1183 Dunaweal Lane,Calistoga,www.twomeycellars.com,942-2489,X,No,,,"Stonegate Label, Also winery Healdsburg",,,,,,,,
Uproot,,,www.drinkuproot.com,,,,,,,,,,,,,,
Upstart Crow Wine,P.O. Box 1191,St. Helena,www.upstartcrowwine.com,,,Private,,,,,,,,,,,
V12 Vineyards,,,www.v12vineyards.com,,,,,,,,,,,,,,
V Madrone,St. Helena Highway N.,St. Helena,www.vmadrone.com,877 994-6311,X,Private,,,,,,,,,,,
V. Sattui,1111 White Lane,St. Helena,www.vsattui.com,963-7774,X,No,Yes,Yes,,,,,,,,,
Valance Wines,275 Mund Road,St. Helena,www.valancewines.com,963-7731,X,Private,,,,,,,,,,,
Valley Floor Vineyard,,,www.valleyfloorvineyard.com,,,,,,,,,,,,,,
Valley Girl Wines,9 Skycrest Way,Napa,www.thevalleygirl.com,259-1879,,Private,,,,,,,,,,,
Valley Legend Wine,4239 Maher Street,Napa,www.valleylegend.com,320-9916,X,Private,,,,,,,,,,,
Van Der Heyden Vineyards,4057 Silverado Trail,Napa,www.vanderheydenvineyards.com,257-0130,X,Yes,,,,,,,,,,,
Vanishing Point Winery,,,www.vanishingpointwinery.com,,,,,,,,,,,,,,
Varozza Vineyards,514 Pratt Ave,St. Helena,www.varozzavineyards.com,963-0331,X,Yes,,,,,,,,,,,
Veedercrest Vineyards,649 Main Streeet,St. Helena,veedercrestvineyards.com,234-7243,X,Yes,,,Taste at Savour St. Helena,,,,,,,,
Vellum Wines,P.O. Box 10800,Napa,www.vellumwines.com,879-8355,X,Private,,,,,,,,,,,
Venge Vineyards,P.O.  Box 457,Rutherford,www.vengevineyards.com,967-1008 ,X,Yes,,BApp,,,,,,,,,
Vermeil Wines,1255 Lincoln Ave,Calistoga,www.vermeilwines.com,963-5926,X,No,,,TR in Calistoga & Napa,,,,,,,,
VGS Chateau Potelle,1200 Dowdell Lane,St. Helena,www.vgschateaupotelle.com,255-9440,X,No,,,,,,,,,,,
Viader,1120 Deer Park Road,Deer Park,www.viader.com,963-3816,X,Yes,Yes,BApp,Dare Label,,,,,,,,
Vice Versa,4225 Solano Ave Ste. 555,Napa,www.viceversawine.com,363-1954,,Private,,,# Makes wine in Sonoma C.,,,,,,,,
Villa del Lago,,,www.villadellagowinery.com,,,,,,,,,,,,,,
Villa Ragazzi,,Oakville,www.villaragazziwine.com,,X,Private,,,,,,,,,,,
Vin Roc,P.O. Box 5253,Napa,www.vinrocnapa.com,265-0943,X,Private,Yes,,,,,,,,,,
Vinatieri Vineyards,P.O. Box 330,Yountville,www.vinatieriwine.com,738-5373,X,Private,,,,,,,,,,,
Vincent Arroyo,2361 Greenwood Ave,Calistoga,www.vincentarroyo.com,942-6995,X,Yes,,BApp,,,,,,,,,
Vine Cliff,7400 Silverado Trail,Napa,www.vinecliff.com,944-1364,X,Yes,Yes,BApp,,,,,,,,,
Vine Hill Ranch,P.O. Box 46,Oakville,www.vinehillranch.com,944-8130,,Private,,,,,,,,,,,
